INSEE_COM,DENS3,DENS7,SERVICES POUR LES PARTICULIERS,COMMERCES,ENSEIGNEMENT,SANTÉ ET ACTION SOCIALE,TRANSPORTS ET DÉPLACEMENTS,"SPORTS, LOISIRS ET CULTURE",TOURISME,SERVICES PUBLICS,SERVICES GÉNÉRAUX,SERVICES AUTOMOBILES,ARTISANAT DU BÂTIMENT,AUTRES SERVICES,GRANDES SURFACES,COMMERCES ALIMENTAIRES,COMMERCES SPÉCIALISÉS NON-ALIMENTAIRES,ENSEIGNEMENT DU PREMIER DEGRÉ,ENSEIGNEMENT DU SECOND DEGRÉ - PREMIER CYCLE,ENSEIGNEMENT DU SECOND DEGRÉ - SECOND CYCLE,ENSEIGNEMENT SUPÉRIEUR NON-UNIVERSITAIRE,ENSEIGNEMENT SUPÉRIEUR UNIVERSITAIRE,FORMATION CONTINUE,AUTRES SERVICES DE L’ÉDUCATION,ETABLISSEMENTS ET SERVICES DE SANTÉ,FONCTIONS MÉDICALES ET PARAMÉDICALES (À TITRE LIBÉRAL),AUTRES ÉTABLISSEMENTS ET SERVICES À CARACTÈRE SANITAIRE,ACTION SOCIALE POUR PERSONNES ÂGÉES,ACTION SOCIALE POUR ENFANTS EN BAS-ÂGE,ACTION SOCIALE POUR HANDICAPÉS,AUTRES SERVICES D’ACTION SOCIALE,INFRASTRUCTURES DE TRANSPORTS,EQUIPEMENTS SPORTIFS,EQUIPEMENTS DE LOISIRS,EQUIPEMENTS CULTURELS ET SOCIOCULTURELS,TOURISME
1065,3,5,29,2,1,11,0,10,1,1,0,2,12,14,0,1,1,1,0,0,0,0,0,0,0,9,1,0,1,0,0,0,8,1,1,1
1066,3,7,2,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
1067,3,6,7,6,0,0,0,3,0,1,0,1,3,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
1068,3,6,25,3,1,1,0,4,0,1,1,3,11,9,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0
1069,3,5,23,1,1,7,0,7,0,1,0,1,11,10,0,0,1,1,0,0,0,0,0,0,0,4,0,0,3,0,0,0,6,0,1,0
1071,2,4,74,26,4,19,5,6,0,1,0,14,31,28,3,5,18,2,0,2,0,0,0,0,0,13,1,0,5,0,0,5,5,0,1,0
1072,3,5,67,15,5,36,2,15,0,3,2,6,32,24,1,8,6,2,1,0,0,0,2,0,1,24,3,3,2,3,0,2,13,1,1,0
1073,3,6,26,2,1,2,1,5,0,1,1,2,16,6,0,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,4,1,0,0
1074,3,5,69,13,1,25,2,12,0,4,3,11,25,26,1,5,7,1,0,0,0,0,0,0,0,17,1,2,4,1,0,2,11,0,1,0
1075,3,5,36,5,1,9,1,5,1,1,0,5,25,5,0,4,1,1,0,0,0,0,0,0,1,6,0,1,0,1,0,1,4,0,1,1
1076,3,6,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1
1077,3,6,4,0,0,0,0,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
1078,2,3,12,0,1,1,1,6,0,1,0,0,4,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1,1,0
1079,3,6,13,5,2,14,2,9,2,2,3,3,3,2,0,2,3,2,0,0,0,0,0,0,0,8,1,3,1,1,0,2,5,3,1,2
1080,3,6,8,2,1,0,0,6,1,1,1,3,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1
1081,3,6,13,3,1,2,0,7,1,2,1,1,6,3,0,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,2,1,1
1082,3,6,7,2,1,3,0,9,0,1,1,2,2,1,0,1,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,7,1,1,0
1083,3,6,34,2,1,4,1,6,1,1,1,7,22,3,0,1,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,5,0,1,1
1084,3,6,21,0,1,1,0,6,0,1,0,2,14,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0
1085,3,6,7,1,0,0,0,1,0,1,0,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1087,3,6,3,1,1,0,1,6,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,1
